[17:45:02.715] [T1] [DS=False] DEBUG | Log Started (v1.7.9)
[17:45:02.782] [T1] [DS=False] DEBUG | Faction cleanup: Removing 40/42 members from Space Pirates
[17:45:02.782] [T1] [DS=False] DEBUG | Faction cleanup: Removing 27/29 members from Сабироиды
[17:45:02.782] [T1] [DS=False] DEBUG | Faction cleanup: Removing 3/4 members from Orks
[17:45:05.684] [T1] [DS=False] DEBUG | CommandMenu Registered Successfully = True
[17:45:57.192] [T1] [DS=False] WARNING | Something attempted to spawn 'Female Astronaut 4' which is not included in the AllowedBotSubtypes. Spawn aborted.
[17:46:00.734] [T1] [DS=False] WARNING | Something attempted to spawn 'Male Astronaut 3' which is not included in the AllowedBotSubtypes. Spawn aborted.
[17:46:00.764] [T1] [DS=False] DEBUG | Mod setup completed in 0H 0M 48S
[17:46:02.369] [T1] [DS=False] WARNING | Something attempted to spawn 'Male Astronaut 5' which is not included in the AllowedBotSubtypes. Spawn aborted.
[17:46:04.041] [T1] [DS=False] WARNING | Something attempted to spawn 'Female Astronaut 3' which is not included in the AllowedBotSubtypes. Spawn aborted.
[18:23:08.857] [T1] [DS=False] DEBUG | CubeGridMap ((NPC-ORK) Lite Krooza).TeleportNearby: SoldierBot2233 moved from [X:-2, Y:49, Z:0] to [X:-2, Y:50, Z:0]
[20:18:33.032] [T1] [DS=False] DEBUG | Closing 4 bot(s) before unload
[20:18:36.200] [T1] [DS=False] DEBUG | Unloading mod data. Registered = True
[20:18:36.275] [T1] [DS=False] DEBUG | Mod unloaded successfully
